Name,Scientific_Name,Pop_Global,Pop_US_Canada,Pop_Canada,Pop_USA,Max_NA_Pop
Cave Swallow,Petrochelidon fulva,9600000,2800000,0,2800000,2800000
Barn Swallow,Hirundo rustica,190000000,47000000,6400000,40000000,47000000
Carolina Chickadee,Poecile carolinensis,13000000,13000000,0,13000000,13000000
Black-capped Chickadee,Poecile atricapillus,43000000,43000000,23000000,20000000,43000000
Mountain Chickadee,Poecile gambeli,7900000,7900000,1600000,6300000,7900000
Mexican Chickadee,Poecile sclateri,2000000,500,0,0,500
Chestnut-backed Chickadee,Poecile rufescens,12000000,12000000,3800000,8200000,12000000
Boreal Chickadee,Poecile hudsonicus,13000000,13000000,9900000,3300000,13000000
Gray-headed Chickadee,Poecile cinctus,2000000,5000,0,0,5000
Bridled Titmouse,Baeolophus wollweberi,160000,69000,0,69000,69000
Oak Titmouse,Baeolophus inornatus,840000,710000,0,710000,710000
Juniper Titmouse,Baeolophus ridgwayi,290000,290000,0,290000,290000
Tufted Titmouse,Baeolophus bicolor,12000000,12000000,1200,12000000,12000000
Black-crested Titmouse,Baeolophus atricristatus,1200000,640000,0,640000,640000
Verdin,Auriparus flaviceps,7200000,3800000,0,3800000,3800000
Bushtit,Psaltriparus minimus,4300000,2300000,62000,2200000,2300000
Red-breasted Nuthatch,Sitta canadensis,20000000,20000000,11000000,8500000,20000000
White-breasted Nuthatch,Sitta carolinensis,10000000,10000000,570000,9500000,10000000
Pygmy Nuthatch,Sitta pygmaea,3300000,3100000,61000,3000000,3100000
Brown-headed Nuthatch,Sitta pusilla,1600000,1600000,0,1600000,1600000
Brown Creeper,Certhia americana,11000000,9500000,4800000,4700000,9500000
Rock Wren,Salpinctes obsoletus,4100000,3400000,9100,3400000,3400000
Canyon Wren,Catherpes mexicanus,1000000,420000,1800,420000,420000
House Wren,Troglodytes aedon,190000000,43000000,14000000,30000000,43000000
Pacific Wren,Troglodytes pacificus,7500000,7500000,2800000,4800000,7500000
Winter Wren,Troglodytes hiemalis,11000000,11000000,10000000,910000,11000000
Sedge Wren,Cistothorus platensis,9500000,5000000,1300000,3700000,5000000
Marsh Wren,Cistothorus palustris,11000000,11000000,1900000,8900000,11000000
Carolina Wren,Thryothorus ludovicianus,19000000,18000000,3100,18000000,18000000
Bewick's Wren,Thryomanes bewickii,7900000,4600000,58000,4500000,4600000
Cactus Wren,Campylorhynchus brunneicapillus,8500000,3000000,0,3000000,3000000
Blue-gray Gnatcatcher,Polioptila caerulea,260000000,230000000,93000,230000000,230000000
California Gnatcatcher,Polioptila californica,80000,5000,0,0,5000
Black-tailed Gnatcatcher,Polioptila melanura,11000000,6500000,0,6500000,6500000
Black-capped Gnatcatcher,Polioptila nigriceps,200000,500,0,0,500
American Dipper,Cinclus mexicanus,160000,150000,12000,140000,150000
Golden-crowned Kinglet,Regulus satrapa,140000000,130000000,89000000,44000000,130000000
Ruby-crowned Kinglet,Regulus calendula,100000000,100000000,83000000,17000000,100000000
Arctic Warbler,Phylloscopus borealis,82000000,8200000,0,8200000,8200000
Wrentit,Chamaea fasciata,2200000,1800000,0,1800000,1800000
Bluethroat,Cyanecula svecica,49000000,220000,0,220000,220000
Northern Wheatear,Oenanthe oenanthe,2600000,260000,190000,78000,260000
Eastern Bluebird,Sialia sialis,23000000,21000000,260000,21000000,21000000
Western Bluebird,Sialia mexicana,7100000,5700000,140000,5500000,5700000
Mountain Bluebird,Sialia currucoides,5600000,5600000,740000,4800000,5600000
Townsend's Solitaire,Myadestes townsendi,1100000,1100000,340000,710000,1100000
Veery,Catharus fuscescens,11000000,11000000,7200000,4000000,11000000
Gray-cheeked Thrush,Catharus minimus,46000000,42000000,23000000,18000000,42000000
Bicknell's Thrush,Catharus bicknelli,110000,110000,0,0,110000
Swainson's Thrush,Catharus ustulatus,120000000,120000000,83000000,39000000,120000000
Hermit Thrush,Catharus guttatus,72000000,72000000,57000000,15000000,72000000
Wood Thrush,Hylocichla mustelina,12000000,12000000,530000,12000000,12000000
American Robin,Turdus migratorius,370000000,370000000,170000000,200000000,370000000
Varied Thrush,Ixoreus naevius,35000000,35000000,10000000,24000000,35000000
Gray Catbird,Dumetella carolinensis,29000000,29000000,3700000,25000000,29000000
